Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,2.929195591667681
18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377
15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815
17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484
17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875
18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937
15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583
15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461
17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569
16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656
17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144
17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771
17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808
17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785
18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796
15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672
18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976
18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335
18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704
17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945307
16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653
15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148
16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549
18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732
18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858
16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743
16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,2.948717671911921
16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.145204720467192
18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318
18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139
15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409
15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387904
18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877
16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728
16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395
15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521
18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,0.2182848568210317
15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796
15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,3.0189058584279675
17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231
17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,1.0582873996898603
17,0,0,1,14.294046327645152,7,0,2,0,0,0,0,2.625128097732231
16,1,3,2,18.754092307587356,12,1,4,0,0,0,0,2.8087548220286536
18,1,0,1,18.245091222023117,9,0,2,0,1,0,0,2.888891669272444
18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,4.0
18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.515300272256249
18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.5637654300150947
17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.7036118032323682
16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854
16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955
17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,2.935477191694632
16,1,2,0,2.200354422550872,12,1,1,1,0,1,0,1.9863780592187463
17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,1.5715441913992825
18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,1.6643106896610833
17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,0.7562591665741925
18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074
18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577343
15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,0.2865712882866222
17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,2.61383869367367
15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259368
17,1,1,1,12.26340721486234,10,0,0,1,0,1,0,1.892758695926592
17,0,0,1,17.376021916356407,12,0,2,0,0,1,0,2.331261549308754
15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,2.234238472600233
15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,2.3858282190764624
17,0,0,2,16.388557073407302,3,1,4,0,0,0,0,3.347356743507809
16,0,1,1,18.111642751462643,6,1,3,1,0,0,0,3.2618553073332905
18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144
15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,0.0278186247324679
18,1,3,2,5.690239194848883,21,1,3,0,0,1,0,1.3299645378768772
16,1,2,1,0.941223957538948,1,0,4,0,0,1,0,3.283916521897384
16,0,1,2,13.370933902279706,6,0,2,1,0,0,0,2.937454182316864
16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,0.7388682028052602
15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,2.556801662833417
16,0,0,3,16.24827315247801,4,1,2,0,0,0,0,3.300928568970799
15,1,0,3,17.067914670738833,14,0,3,1,0,1,0,2.200682946560561
16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,1.8558655731681932
18,0,0,2,5.305701781721048,3,0,3,0,0,0,0,2.734401494419992
18,1,1,3,18.079061303797783,18,1,1,1,1,0,0,2.1317372971872284
17,1,0,0,6.413255094728645,19,0,1,0,0,0,0,0.9797699107752862
18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,0.994325023551287
17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0,2.0746999767813343
18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0,0.500508035804656
